doodID,category,tilesets,tilesetSpecific,file,comment,Name,doodClass,soundLoop,selSize,defScale,minScale,maxScale,canPlaceRandScale,useClickHelper,ignoreModelClick,maxPitch,maxRoll,visRadius,walkable,numVar,onCliffs,onWater,floats,shadow,showInFog,animInFog,fixedRot,pathTex,showInMM,useMMColor,MMRed,MMGreen,MMBlue,vertR01,vertG01,vertB01,vertR02,vertG02,vertB02,vertR03,vertG03,vertB03,vertR04,vertG04,vertB04,vertR05,vertG05,vertB05,vertR06,vertG06,vertB06,vertR07,vertG07,vertB07,vertR08,vertG08,vertB08,vertR09,vertG09,vertB09,vertR10,vertG10,vertB10,UserList,InBeta,version
APms,E,"A,G",0,Doodads\Ashenvale\Plants\AshenShrooms\AshenShrooms,Mushrooms,WESTRING_DOOD_APMS,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,4,1,1,0,0,1,0,-1,none,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
AOhs,E,A,0,Doodads\Ashenvale\Props\AshenHollowStump\AshenHollowStump,Hollow Stump,WESTRING_DOOD_APHS,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,1,1,1,0,1,1,0,-1,PathTextures\4x4Default.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
APtv,E,C,0,Doodads\Felwood\Plants\Felwood_Thorns\Felwood_Thorns,Thorny Vines,WESTRING_DOOD_APTV,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,7,1,1,0,1,1,0,-1,PathTextures\2x2Default.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
APct,E,"A,L,F,W,Y,X,V,Q,J",0,Doodads\Ashenvale\Plants\AshenCatTail\AshenCatTail,Cattail,WESTRING_DOOD_APCT,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,1,0,1,0,0,1,0,-1,none,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
AObd,O,*,0,Doodads\Ashenvale\Props\Bird\Bird,Birds,WESTRING_DOOD_AOBD,_,_,0,1,0.8,1.2,1,1,0,-,-,50,0,1,1,1,0,0,0,0,-1,none,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
AObr,O,"C,D,G",0,Doodads\Ashenvale\Props\Brazier\Brazier,Skull Brazier,WESTRING_DOOD_AOBR,_,AshenvaleBrazierLoop,0,1,0.8,1.2,1,0,0,-,-,50,0,1,1,1,0,1,1,0,-1,PathTextures\4x4Default.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
AWfs,W,*,0,Doodads\Ashenvale\Water\Fish\Fish,Fish,WESTRING_DOOD_AOFS,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,1,1,1,0,0,0,0,-1,none,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
AOgs,O,A,0,Doodads\Ashenvale\Props\SentinelStatue\SentinelStatue,Guardian Statue of Aszune,WESTRING_DOOD_AOGS,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,1,1,1,0,1,1,0,-1,PathTextures\8x8Cross.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
AOks,O,A,0,Doodads\Ashenvale\Props\KeeperStatue\KeeperStatue,Keeper Statue,WESTRING_DOOD_AOKS,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,1,1,1,0,1,1,0,-1,PathTextures\8x8Default.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
AOlg,E,A,0,Doodads\Ashenvale\Props\AshenLogStraight\AshenLogStraight,Straight Log,WESTRING_DOOD_AOLG,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,1,1,1,0,1,1,0,-1,PathTextures\12x6Default.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
